ERT 1 Texel_Cocksdorp_clean.bin
         0.50
11
3
Type of measurement (0=app. resistivity,1=resistance)
0
2801
 2
0
4  1.00  0.00 4.50  0.00 21.00  0.00 24.50  0.00 0.77 
4  1.00  0.00 4.50  0.00 24.50  0.00 21.50  0.00 0.87 
4  1.00  0.00 4.50  0.00 21.50  0.00 25.00  0.00 0.79 
4  1.00  0.00 4.50  0.00 25.00  0.00 22.00  0.00 0.81 
4  1.00  0.00 4.50  0.00 22.00  0.00 25.50  0.00 0.83 
4  1.00  0.00 4.50  0.00 22.50  0.00 26.00  0.00 1.06 
4  1.00  0.00 5.00  0.00 23.00  0.00 27.00  0.00 0.85 
4  1.00  0.00 5.00  0.00 27.00  0.00 23.50  0.00 1.11 
4  1.00  0.00 5.00  0.00 23.50  0.00 27.50  0.00 0.86 
4  1.00  0.00 5.00  0.00 27.50  0.00 24.00  0.00 0.92 
4  1.00  0.00 5.00  0.00 24.00  0.00 28.00  0.00 0.88 
4  1.00  0.00 5.00  0.00 28.00  0.00 24.50  0.00 0.89 
4  1.00  0.00 5.00  0.00 24.50  0.00 28.50  0.00 0.94 
4  1.00  0.00 5.00  0.00 28.50  0.00 25.00  0.00 0.89 
4  1.00  0.00 5.00  0.00 25.00  0.00 29.00  0.00 0.90 
4  1.00  0.00 5.00  0.00 25.50  0.00 29.50  0.00 1.25 
4  1.00  0.00 5.50  0.00 26.00  0.00 30.50  0.00 1.07 
4  1.00  0.00 5.50  0.00 30.50  0.00 26.50  0.00 1.12 
4  1.00  0.00 5.50  0.00 26.50  0.00 31.00  0.00 0.93 
4  1.00  0.00 5.50  0.00 31.00  0.00 27.00  0.00 0.91 
4  1.00  0.00 5.50  0.00 27.00  0.00 31.50  0.00 0.91 
4  1.00  0.00 5.50  0.00 31.50  0.00 27.50  0.00 0.96 
4  1.00  0.00 5.50  0.00 27.50  0.00 32.00  0.00 0.99 
4  1.00  0.00 5.50  0.00 32.00  0.00 28.00  0.00 0.95 
4  1.00  0.00 5.50  0.00 28.00  0.00 32.50  0.00 1.07 
